question,answer,type,points,media_url,category,difficulty,answer_mode,question_format,approved,options
Which country has no land border with Russia?,Uzbekistan,text,1,,,medium,mcq,multichoice,FALSE,Mongolia|North Korea|Norway|Uzbekistan
"In an episode of The Simpsons, Marge belatedly receives a letter from which Beatle?",Ringo Starr,text,1,,,medium,mcq,multichoice,FALSE,John Lennon|Paul McCartney|George Harrison|Ringo Starr
This film features a glowing briefcase. Its title is an anagram of 'UPLIFT PICON'. What is the film?,Pulp Fiction,text,1,,,medium,text,standard,FALSE,
In which country did the Great Leap Forward take place?,China,text,1,,,medium,text,standard,FALSE,
A squid has _____ an octopus.,More limbs than,text,1,,,medium,mcq,standard,FALSE,Less limbs than|The same amount|More limbs than
Which franchise did NOT have music composed by John Williams?,Batman,text,1,,,medium,mcq,standard,FALSE,Batman|Jurassic Park|Harry Potter|Star Wars
What is the English translation of the French 'Mon Dieu!'?,My God,text,1,,,medium,text,standard,FALSE,
A man's formal dress coat called 'tails' is named after what bird?,Swallow,text,1,,Birds,medium,text,standard,FALSE,
"Venerated in Hindu and Greek mythology, what is the National Bird of India?",Peacock,text,1,,Birds,medium,text,standard,FALSE,
"Some birds can briefly fly upside down, what's the only type of bird that can do it for a sustained period?",Hummingbird,text,1,,Birds,medium,text,standard,FALSE,
"What name is given to the nest of an eagle, falcon, hawk, or other bird of prey?",Eyrie,text,1,,Birds,medium,text,standard,FALSE,
"In English superstition what black and white bird should you wish ""good day""?",Magpie,text,1,,Birds,medium,text,standard,FALSE,
What bird is depicted on most Canadian one-dollar coins and gives them their nickname?,Common Loon,text,1,,Birds,medium,text,standard,FALSE,
Who understood the speech of birds after tasting dragon's blood in a famous Richard Wagner opera?,Siegfried,text,1,,Birds,medium,text,standard,FALSE,
What type of birds (called Hugin & Munin) sit on the shoulders of Odin?,Ravens,text,1,,Birds,medium,text,standard,FALSE,
"In his play 'The Birds', what name did Aristophanes give to the birds' kingdom in the sky?",Cloud Cuckoo Land,text,1,,Birds,medium,text,standard,FALSE,
"What type of bird is associated with Lundy Island, it is a seabird in the auk family?",Atlantic Puffin,text,1,,Birds,medium,text,standard,FALSE,
What type of animal is Pluto in the Disney cartoons?,Dog,text,1,,Entertainment,medium,text,standard,FALSE,
"Among these unsettling food-related powers, which one genuinely belongs to a mutant in the Marvel universe?",The ability to transform into any flavor of ice cream,text,1,,Entertainment,medium,mcq,standard,FALSE,The ability to transform into any flavor of ice cream.|Having hair that grows into edible pasta.|Crying tears that taste like clam chowder.|Sweating pure mayonnaise.
What type of magical object does Aladdin ride through the sky?,Carpet,text,1,,Entertainment,medium,text,standard,FALSE,
What is the name of the superhero alter ego of Steve Rogers?,Captain America,text,1,,Entertainment,medium,text,standard,FALSE,
Alan Reed is known for providing the voice of which character?,Fred Flintstone,text,1,,Entertainment,medium,mcq,standard,FALSE,Fred Flintstone|Fangface|G.I. Joe|Bugs Bunny
How many Harrison Ford's are there on Hollywood's Walk of Fame?,2,text,1,,Entertainment,medium,mcq,standard,FALSE,2|0|3|1
The USA banned authentic Scottish haggis due to its inclusion of which specific ingredient?,Sheep's lung,text,1,,Food & Drink,medium,mcq,standard,FALSE,Sheep's brain|Pig's blood|Sheep's lung|Goat's heart
What is the main ingredient in traditional hummus?,Chickpeas,text,1,,Food & Drink,medium,text,standard,FALSE,
What is the name of the chocolate brand famous for its Creme Egg?,Cadbury,text,1,,Food & Drink,medium,text,standard,FALSE,
Which two creatures are depicted on the United Kingdom's coat of arms?,A lion and a unicorn,text,1,,General Knowledge,medium,text,standard,FALSE,
Which of the following is NOT a literary bear?,Clifford,text,1,,General Knowledge,medium,mcq,standard,FALSE,Clifford|Corduroy|Winnie the Pooh|Paddington
Which country is the birthplace of Lego?,Denmark,text,1,,General Knowledge,medium,text,standard,FALSE,
"George Clooney co-founded which tequila brand, selling it in 2017 for an estimated $1 billion?",Casamigos,text,1,,General Knowledge,medium,mcq,standard,FALSE,Teremana|Casamigos|Patron|Don Julio
What color paint is used on Disney structures to make them 'disappear' against the sky?,Go-Away Green,text,1,,General Knowledge,medium,mcq,standard,FALSE,Vanishing Gray|Blending Blue|No-See-Um Navy|Go-Away Green
Psithurism describes the sound of what?,Leaves rustling in the wind,text,1,,General Knowledge,medium,mcq,standard,FALSE,"The voice in your head|Leaves rustling in the wind|A whistly nostril|A great disturbance in the Force, as if millions of voices suddenly cried out in terror and were suddenly silenced"
"First airing in 2014, which adult animated psychological comedy drama series revolves around an anthropomorphic horse, a washed-up star of a 1990s sitcom?",BoJack Horseman,text,1,,General Knowledge,medium,text,standard,FALSE,
What was the name of the band who backed Prince on the album Purple Rain?,The Revolution,text,1,,General Knowledge,medium,text,standard,FALSE,
"Caviar comes from several species of which fish - beluga caviar is the largest, rarest, and the most expensive?",Sturgeon,text,1,,General Knowledge,medium,text,standard,FALSE,
"What common dog breed takes its name from the fact that they were originally bred to hunt a game bird called ""woodcocks""?",Cocker Spaniel,text,1,,General Knowledge,medium,text,standard,FALSE,
"Similar to, but much larger than the asteroid belt, what is the circumstellar disc in the outer Solar System, extending from the orbit of Neptune?",The Kuiper Belt,text,1,,General Knowledge,medium,text,standard,FALSE,
"H.G Wells' first novel, in which book do the Eloi and the Morlocks feature?",The Time Machine,text,1,,General Knowledge,medium,text,standard,FALSE,
Which European peak was first conquered in 1865 by English mountaineer Edward Whymper?,Matterhorn,text,1,,General Knowledge,medium,text,standard,FALSE,
"Which scavenger and mammal has Brown, Spotted, and Striped varieties?",Hyena,text,1,,General Knowledge,medium,text,standard,FALSE,
"Meaning ""knowledge"", what is the name given to the large body of religious texts originating in ancient India?",The Vedas,text,1,,General Knowledge,medium,text,standard,FALSE,
"In which film is ""Auto"" a rogue autopilot AI aboard the starliner Axiom, preventing humans from returning to Earth?",WALL-E,text,1,,General Knowledge,medium,text,standard,FALSE,
"Which Beatle wrote and sang the song ""Why Don't We Do It in the Road"" after being inspired by seeing two monkeys copulating in the street?",Paul,text,1,,General Knowledge,medium,mcq,standard,FALSE,George|Ringo|John|Paul
"According to The Hitchhiker's Guide to the Galaxy book, the answer to life, the universe and everything else is...",42,text,1,,General Knowledge,medium,mcq,standard,FALSE,Loving everyone around you|Chocolate|Death|42
