question,answer,type,points,media_url
"What is the capital of France?",Paris,text,1,
"What is 2 + 2?",4,text,1,
"Which planet is the largest in our solar system?",Jupiter,text,1,
"Who wrote 'Hamlet'?",William Shakespeare,text,1,
"What is the chemical symbol for Gold?",Au,text,1,
"In what year did the Titanic sink?",1912,text,2,
"What is the smallest country in the world by area?",Vatican City,text,1,
"How many bones are in the adult human body?",206,text,2,
"What is the most spoken language in the world?",Mandarin Chinese,text,1,
"Which artist painted the 'Starry Night'?",Vincent van Gogh,text,1,
"What is the longest river in the world?",Nile River,text,1,
"Who invented the light bulb?",Thomas Edison,text,1,
"What is the speed of light?",299792458 meters per second,text,2,
"How many continents are there?",7,text,1,
"What is the deepest ocean trench?",Mariana Trench,text,1,
"Who was the first President of the United States?",George Washington,text,1,
"What does DNA stand for?",Deoxyribonucleic acid,text,2,
"What is the capital of Japan?",Tokyo,text,1,
"How many sides does a hexagon have?",6,text,1,
"What is the boiling point of water?",100 degrees Celsius,text,1,
